CNPJ_FUNDO,DENOM_SOCIAL,VL_PATRIM_LIQ
02.010.153/0001-45,BB FAPI FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL,16074870.37
02.177.812/0001-32,ITAU FAPI RENDA FIXA - FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL,74629005.1
02.177.815/0001-76,ITAU FAPI CONSERVADOR - FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL,2054803.68
02.185.027/0001-21,BRADESCO FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL FAPI FIX,568576783.05
02.226.122/0001-26,UNIBANCO FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL CONSERVADOR,4464.13
02.297.533/0001-02,BRADESCO FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL FAPI RENDA FIXA PLUS,17964368.11
02.661.252/0001-97,FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB,2440074.89
02.661.267/0001-55,FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL BALANCED IB,8248484.16
02.661.317/0001-02,FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL CAPITAL PRESERVATION IB,8792130.38
02.661.339/0001-64,FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL CONSERVATIVE IB,11007687.76
03.564.825/0001-27,SICREDI FAPI COMPOSTO - FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL,76184829.83
04.785.314/0001-06,FAPI BANRISUL CONSERVADOR,10016452.86
10.546.592/0001-03,SICREDI FAPI RENDA FIXA FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL,66003975.94
00.017.024/0001-53,FUNDO DE INVESTIMENTO RENDA FIXA EXPONENCIAL,1114814.97
00.068.305/0001-35,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA EMPREENDER RENDA FIXA LONGO PRAZO,37596182.97
00.071.477/0001-68,BB RENDA FIXA AUTOMÁTICO EMPRESA SIMPLES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,1487636755.03
00.073.041/0001-08,BB BESC RENDA FIXA PRÁTICO CRÉDITO PRIVADO FUNDO DE INVESTIMENTO,9267484.33
00.083.181/0001-67,OPP I FUNDO DE INVESTIMENTO EM AÇÕES BDR NÍVEL I INVESTIMENTO NO EXTERIOR,20189168390.85
00.089.915/0001-15,AMARIL FRANKLIN FUNDO DE INVEST EM COTAS DE FUNDOS DE INVEST MULTIMERCADO CRED PRIVADO,18982464.69
00.102.322/0001-41,BOREAL AÇÕES III FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,73894872.23
00.180.995/0001-10,SAFRA EXECUTIVE MAX RF FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,111156984.1
00.185.259/0001-54,OPPORTUNITY LOGICA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM ACOES,570875943.15
00.194.256/0001-87,BB EXTRAMERCADO FAE FUNDO DE INVESTIMENTO EM RENDA FIXA,3867955891.09
00.211.294/0001-09,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO EUCALIPTO,716674559.93
00.222.725/0001-24,SANTANDER RENDA FIXA CRESCIMENTO CENTRUM FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,69390312.7
00.222.816/0001-60,SAFRA EXECUTIVE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA,949013903.9
00.280.302/0001-60,BRADESCO H FICFI RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO TIPO,418762796.05
00.306.278/0001-91,BRADESCO FIC DE FI RENDA FIXA REFERENCIADO DI,2386621221.72
00.322.699/0001-06,BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI CRÉDITO PRIVADO LONGO PRAZO EXECUTIVO,3536624033.16
00.346.750/0001-10,NECTON FUNDO DE INVESTIMENTO MULTIMERCADO,3780600.85
00.360.293/0001-18,BB RENDA FIXA DIVIDA EXTERNA MIL FUNDO INVESTIMENTO,41719158.69
00.398.561/0001-90,PORTO ALISIOS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES,27104093.34
00.400.490/0001-13,PORTO SEGURO MACRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,264888727.6
00.463.569/0001-93,BRADESCO PRIVATE FUNDO DE INVESTIMENTO EM AÇÕES IBOVESPA ALAVANCADO,1042316.42
00.524.617/0001-06,CAMBIAL DÓLAR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,53270925.81
00.539.553/0001-17,SELEÇÃO GUIDE CASH FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉD PRIVA,384024140.02
00.575.922/0001-27,ALFA AÇÕES PREMIUM - FUNDO DE INVESTIMENTO EM AÇÕES,13319512.45
00.598.452/0001-17,MB MASTER REFERENCIADO DI LONGO PRAZO FUNDO DE INVESTIMENTO FINANCEIRO,26860295.93
00.601.692/0001-23,FAMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE AÇÕES,65445404.26
00.638.573/0001-45,PAULA SOUZA FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I,35397560.15
00.743.026/0001-20,BANRISUL VIP FUNDO DE INVESTIMENTO RENDA FIXA DE LONGO PRAZO,80932754.08
00.756.851/0001-69,BB RENDA FIXA REFERENCIADO DI ÁGIL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,2763309344.0
00.777.815/0001-81,BRADESCO H FICFI RENDA FIXA REFERENCIADO DI LONGO PRAZO FUNCIONÁRIO,116711662.79
00.785.365/0001-79,ITAÚ MONEY MARKET RENDA FIXA - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,61757522.63
00.793.947/0001-05,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA VÊNUS,49659109.58
00.807.777/0001-62,DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO CRÉDITO PRIVADO,544174813.76
00.809.773/0001-13,BRADESCO H FICFI RENDA FIXA CURTO PRAZO OVER,60642941.84
00.812.433/0001-41,BNB AUTOMÁTICO FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO,4046719234.57
00.813.342/0001-20,SANTANDER RF REFERENCIADO DI MAIS 2 FIC FI,742947987.5
00.817.201/0001-86,ITAÚ RENDA FIXA PLUS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,14849151.02
00.817.677/0001-17,WESTERN ASSET ALPHA CREDIT RENDA FIXA FUNDO DE INVESTIMENTO CRÉDITO PRIVADO,197797308.11
00.819.858/0001-82,WESTERN ASSET RF ATIVO SILVER FIC FI RENDA FIXA,891244.19
00.819.875/0001-10,WESTERN ASSET DI RENDA FIXA REFERENCIADO FI,172040571.28
00.819.880/0001-22,WESTERN ASSET CÂMBIO DOLAR PRIME FICFI CAMBIAL,29968256.89
00.819.889/0001-33,WESTERN ASSET HEDGE DÓLAR FUNDO DE INVESTIMENTO CAMBIAL,54738737.14
00.819.901/0001-00,WESTERN ASSET DI SILVER FIC FI RENDA FIXA REFERENCIADO,3483244.48
00.819.915/0001-23,WESTERN ASSET DI EXCELLENT FICFI RENDA FIXA REFERENCIADO,108131897.9
00.819.929/0001-47,WESTERN ASSET DI PLUS FICFI RENDA FIXA REFERENCIADO,11697538.77
00.822.055/0001-87,BB RF IV FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO,114257359221.06
00.822.059/0001-65,BB AÇÕES IBOVESPA ATIVO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,148780064.19
00.822.954/0001-80,ITAÚ B CAMBIAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,503726230.8
00.824.198/0001-28,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA REFERENCIADO DI FEDERAL,70662881.91
00.825.076/0001-56,PRATICBEC FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO,1137313.24
00.825.077/0001-09,BECMAXI - FUNDO DE INVESTIMENTO RENDA FIXA,6049697.12
00.826.901/0001-37,CS EVOLUTION DI FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO,11436490.57
00.826.903/0001-26,CSHG TOP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,181953176.83
00.826.907/0001-04,ITAÚ MEDIUM TERM CAPITAL FIX RENDA FIXA REFERENCIADO DI FDO DE INVESTO EM COTAS DE FDOS DE INVEST,25277810.48
00.826.911/0001-72,GOLDEN DI - RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,7920991.22
00.828.941/0001-18,ITAU ADVANTAGE RENDA FIXA REFERENCIADO DI FICFI,2859839.94
00.829.163/0001-81,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO MULTIPERFORMANCE,7960172.96
00.829.280/0001-45,ITAÚ RENDA FIXA - FUNDO DE INVESTIMENTO,2523292617.31
00.829.282/0001-34,ITAÚ EMPRESA RENDA FIXA REFERENCIADO DI - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,18575535.95
00.829.288/0001-01,ITAÚ PRIVATE RENDA FIXA REFERENCIADO DI EXCLUSIVE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVEST,2508838890.88
00.829.292/0001-70,ITAÚ CORP RENDA FIXA REFERENCIADO DI - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,748670902.11
00.832.407/0001-85,ITAÚ FRANCÊS RENDA FIXA - FUNDO DE INVESTIMENTO,4905838490.95
00.832.414/0001-87,ITAÚ RENDA FIXA REFERENCIADO DI PLUS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,83344452.11
00.832.424/0001-12,ITAÚ PERSONNALITÉ RENDA FIXA - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,2612647.47
00.832.431/0001-14,ITAÚ PERSONNALITÉ RENDA FIXA PLUS - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,30777301.77
00.832.435/0001-00,ITAÚ INSTITUCIONAL RENDA FIXA REFERENCIADO DI - FUNDO DE INVESTIMENTO,5773761990.2
00.832.443/0001-49,ITAÚ BBA RENDA FIXA - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,54695985.22
00.832.445/0001-38,ITAU RENDA FIXA REFERENCIADO DI - FDO DE INVEST EM COTAS DE FDOS DE INVEST,233907325.66
00.832.453/0001-84,CSHG DI FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO,2679478.18
00.832.587/0001-03,BRB FUNDO DE INVESTIMENTO EM COTAS DE FI RF DI CRÉDITO PRIVADO LP HIPER - RESPONSABILIDADE LIMITADA,64281523.19
00.832.588/0001-40,FUNDO DE INVESTIMENTO EM RENDA FIXA BRB LIQUIDEZ,13354381.03
00.832.696/0001-12,SANTANDER RF CRESCIMENTO VIP FIC FI,27211736.91
00.833.458/0001-21,FUNDO DE INVESTIMENTO MULTIMERCADO TRIUNFO,41301588.06
00.834.072/0001-34,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA BETA RENDA FIXA REF DI LONGO PRAZO,148286223.9
00.834.074/0001-23,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA PRÁTICO RENDA FIXA CURTO PRAZO,13745183278.25
00.836.258/0001-22,FUNDO DE INVESTIMENTO MULTIMERCADO CHALLENGER,131295653.99
00.836.263/0001-35,BV EAGLE RENDA FIXA LONGO PRAZO FUNDO DE INVESTIMENTO,70475132.32
